Area Name,Latitude,Longitude,Metro Distance (km),Beach Distance (km),Mall Distance (km),School Distance (km),Business Distance (km),Neighborhood Score (1-5)
Al Yelayiss 1,25.0371,55.2492,12.1,23.7,8.8,1.5,20.1,3.5
Jumeirah Lakes Towers,25.0756,55.1454,0.5,2.8,4.7,1.4,19.5,4.0
Motor City,25.0483,55.2426,9.8,17.2,7.5,0.8,19.2,3.8
Burj Khalifa,25.1972,55.2744,0.6,10.8,0.1,3.2,1.5,4.8
Madinat Hind 4,25.0168,55.3676,21.5,37.1,15.2,6.1,25.8,3.2
Silicon Oasis,25.1214,55.3879,14.5,28.1,10.1,0.5,17.9,3.7
Al Furjan,25.0256,55.1581,0.7,10.1,4.1,0.9,23.1,3.9
Arjan,25.0351,55.2327,8.1,15.1,6.1,0.3,18.1,3.6
Bukadra,25.1761,55.3342,8.1,18.5,7.9,3.1,8.5,3.3
Dubai Investment Park Second,24.9786,55.1873,4.1,21.9,13.2,3.0,30.1,3.4
Al Yufrah 1,25.0515,55.4521,24.2,40.1,16.5,8.1,28.5,3.0
Dubai Hills,25.1013,55.2380,8.2,15.5,1.1,3.1,12.1,4.5
Wadi Al Safa 5,25.0778,55.3522,15.1,25.2,10.0,1.7,16.8,3.6
Dubai Creek Harbour,25.2064,55.3456,3.9,19.2,7.1,2.2,9.8,4.2
Dubai South,24.8978,55.1431,8.1,30.5,21.5,6.2,38.1,3.5
Jabal Ali First,25.0511,55.1382,1.1,9.8,5.1,2.0,25.1,3.7
Al Hebiah Fifth,25.0078,55.2387,11.2,21.5,10.9,3.4,22.1,3.4
INTERNATIONAL CITY PH 1,25.1544,55.4039,9.8,26.1,9.5,4.8,19.1,3.1
Meydan One,25.1737,55.2870,3.1,14.2,3.5,1.4,4.8,4.1
Damac Hills,25.0311,55.2483,12.5,20.1,9.1,0.9,21.5,3.9
Wadi Al Safa 7,25.0398,55.2856,15.2,24.1,12.8,0.9,18.5,3.5
Madinat Dubai Almelaheyah,25.2648,55.2658,2.1,5.1,9.8,3.5,8.2,3.8
Wadi Al Safa 3,25.0672,55.2675,10.2,17.9,8.5,3.9,12.9,3.7
INTERNATIONAL CITY PH 2 & 3,25.1385,55.4311,12.5,28.8,11.2,6.5,21.8,3.0
Town Square,25.0185,55.2711,15.8,25.9,11.5,0.8,23.9,3.7
Sobha Heartland,25.1771,55.3074,4.5,15.8,5.1,0.6,6.2,4.2
Al Yelayiss 2,25.0095,55.2751,15.1,26.2,11.8,3.5,24.9,3.4
Dubai Maritime City,25.2671,55.2653,2.1,5.2,9.9,4.1,8.1,3.6
Dubai Studio City,25.0426,55.2513,9.1,16.5,7.1,0.4,20.1,3.7
Marsa Dubai,25.0815,55.1397,0.6,1.5,1.1,2.5,20.9,4.6
Me'Aisem Second,25.0012,55.2122,9.8,20.1,8.8,4.1,25.5,3.2
Al Khairan First,25.1957,55.3599,3.5,19.5,6.5,2.2,11.1,4.0
Al Wasl,25.1964,55.2549,2.8,8.1,3.8,1.8,3.9,4.4
Emirate Living,25.0662,55.1711,4.1,8.5,5.9,1.1,15.1,4.7
Discovery Gardens,25.0330,55.1554,1.1,8.9,2.8,2.0,24.9,3.6
Liwan,25.1025,55.3688,14.1,26.5,10.5,1.2,17.2,3.3
Al Satwa,25.2191,55.2726,1.8,6.9,4.7,2.5,3.5,3.8
The Greens,25.0934,55.1704,1.8,7.8,4.1,1.1,13.5,4.2
Dubai Harbour,25.0955,55.1481,1.9,1.1,3.1,3.8,19.1,4.3
Jumeirah Beach Residence,25.0779,55.1340,1.1,0.1,1.8,2.5,22.1,4.6
Emaar South,24.9085,55.1861,8.5,31.2,21.1,1.1,37.2,3.5
Down Town Jabal Ali,25.0580,55.1273,0.1,11.2,4.8,6.1,26.9,3.5
Tecom Site D,25.0951,55.1782,1.1,7.1,3.5,1.1,12.8,4.1
Palm Jabal Ali,25.0027,54.9876,14.5,14.1,15.9,10.0,38.5,3.0
Al Aweer First,25.1757,55.5469,21.9,33.3,17.5,10.0,29.9,2.9
Villanova,25.0521,55.3595,18.5,29.1,12.1,1.9,21.1,3.6
Remraam,25.0215,55.2281,10.5,22.5,11.8,0.7,24.1,3.5
DUBAI HEALTHCARE CITY - PHASE 2,25.2255,55.3311,1.1,15.1,8.8,2.2,7.9,3.8
Dubai Industrial City,24.8795,55.0911,12.1,32.5,25.1,10.0,41.2,3.1
Arabian Ranches I,25.0533,55.2589,12.1,20.3,7.2,1.8,19.2,4.2
