Area Name,Latitude,Longitude,Metro Distance (km),Beach Distance (km),Mall Distance (km),School Distance (km),Business Distance (km),Neighborhood Score (1-5)
Arabian Ranches,25.0533,55.2589,8.5,25.3,6.2,1.2,12.5,4.5
Dubai Silicon Oasis,25.1214,55.3789,3.8,28.5,4.5,0.8,8.2,4.0
Al Sufouh,25.1125,55.1797,2.5,1.2,3.8,2.1,5.5,4.3
Dubai Sports City,25.0390,55.1897,10.2,18.5,8.5,2.5,15.0,3.8
Motor City,25.0457,55.2141,9.5,20.3,7.2,1.8,14.2,3.8
The Greens,25.0934,55.1704,4.5,8.2,2.5,2.0,6.5,4.2
Emirates Hills,25.1048,55.1778,5.2,9.5,3.0,1.5,7.0,5.0
The Springs,25.0821,55.1598,5.8,10.5,4.2,1.2,8.5,4.3
The Meadows,25.0765,55.1889,6.5,12.3,5.0,1.8,9.0,4.2
The Lakes,25.0698,55.1745,5.0,9.8,3.5,1.5,7.5,4.3
